Group;Total;Novelle (CATMA_107A613D-6FDF-4D8C-BEA0-45F635906515);NinaNovelle (CATMA_02144EEC-DFFA-43E6-AF96-08B9475BA9B3);Novelle - BA (CATMA_22CEEB64-FAE9-40C9-9420-15C288BACCDD);Negationen (CATMA_39DABD06-FA36-4ED8-A1EE-5134D0865DDE);Novelle - RA (CATMA_7F7E0907-3976-4594-8EC2-CB6AFA9BE0C4);JuliaNovelle (CATMA_CF61A733-367C-4244-8DA7-76FC3C3747A8);Die guten Weiber (CATMA_11CC92FD-3140-4269-89F7-E0CB18AE07B1);AH (CATMA_0B982D42-BDC5-48EB-B8A3-D570C253AE2E);RT (CATMA_312E0F48-83FC-4251-9E2A-841DBFBA23EF);Die guten Weiber RT (CATMA_DADBF4E3-1B15-4855-9350-D18D9AD57B19);Die-guten-Weiber (CATMA_FB2940CE-AEE1-416F-BDDA-757F87360851);Wahlverwandtschaften (CATMA_18BAFC3D-2234-4027-B640-B9D351F4B39F);Wahlverwandschaften AH (CATMA_88E1C752-2B4A-4203-AC78-5A873485C0D0);Wahlverwandschaften RA (CATMA_90F95DC3-326D-43AD-B5FA-ECF8F39B82EB);Negationen (CATMA_A6281CF8-524B-4D4D-8BD9-0FAA5F4CBB8D);Wahlverwandtschaften RT (CATMA_AA0DF310-AA5E-4E67-9CF6-BEE5FB8F3987);Intrinsic Markup (C_D84FA54F-4369-4519-B9DD-3BA7C1419CB5);Unterhaltungen deutscher Ausgewanderten (CATMA_247FA951-9E45-41D2-AA91-E78A05400BCC);Unterhaltungen-BA (CATMA_22E44727-3A19-4B47-BCF9-9DAFACBDA88F);Negationen (CATMA_451455DA-4E57-4DBA-ACA7-DD07C2D8F9BD);NL (CATMA_D311DA8F-F52E-47BA-AC32-20B0A6433240);Hermann und Dorothea (CATMA_2F966BE4-CC2C-4322-AEAD-FDD1E753D02C);RT (CATMA_33280756-8D32-4677-AAAD-5E4B0A0B559A);AH  (CATMA_3610025C-7068-4088-B2E3-3DF29CBCE2C6);Nina (CATMA_3FBB20FB-44E6-4709-8FD6-1C54C332FF6D);Negationen (CATMA_8BE83E71-8800-48E4-9E5D-0E1603F01120);JH (CATMA_90F67794-BD72-4356-9404-51674DF3A7DB);AH 2 (CATMA_989A4105-572C-4321-8F87-C9EF33C94E6D);Wilhelm Meisters Wanderjahre (CATMA_C827B919-4F5A-46D9-B9AE-78DC38A9619B);Wanderjahre-BA (CATMA_02BEF971-1549-4655-A4EF-C1FC4EA72DE6);Rabea_Wanderjahre (CATMA_0CFC4EF0-8DD5-43A7-95C5-EEAFA2C2342F);Wanderjahre-AH (CATMA_2CFCA777-4D18-42AE-9144-4311324EBAD4);Wanderjahre-JCM (CATMA_44908A6C-48B4-4373-B176-D10DAEA5500C);Wanderjahre-CA (CATMA_653C6DEB-407F-43C8-BC76-D969FC66641A);WanderjahreNB (CATMA_8EBE384C-3BD2-4CBB-8D78-A9C57A3199D9);Wanderjahre LE (CATMA_A880482C-553C-47AE-970D-CD9BBDC9621C);Wanderjahre NL (CATMA_CA02062B-F6B3-40A6-8D86-E6C5D1A963AF);Wanderjahre-JH (CATMA_E203D09A-CF82-4DF4-91E5-50F3D792B02E);Wanderjahre RT (CATMA_FFE8229F-219B-441D-915D-9DE94600CEF5);Reise der Söhne Megaprazon. Fragmente (CATMA_D0B27074-C416-4B2D-B68B-3C8354ACA8C4);RT (CATMA_AD8D9875-F99A-4030-9AA2-D8EF24350303);AH (CATMA_E8050D90-D89D-4127-B563-3CD2B0F19197)
"


  Die
Wahlverwandts";5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
"
 Daß der gute alte Mann sich gern gesetzt hätte, entging dem rüstigen Redner, der noch viel weniger dachte, daß er ein größeres Übel hervorzubringen auf dem Wege war: denn nachdem er das Verhältnis eines jeden Anwesenden zum Kinde mit Nachdruck geschildert und Ottilies Fassung dabei ziemlich auf die Probe gestellt hatte; so wandte e";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"
 Die Einsamkeit macht nicht die Freistatt, liebe Tante, versetzte Ottilie. Die schätzenswerteste Freistatt ist da zu suchen, wo wir tätig sein können. Alle Büßungen, alle Entbehrungen sind keineswegs geeignet uns einem ahnungsvollen Geschick zu entziehen, wenn es uns zu verfolgen entschieden ist. Nur, wenn ich im müßigen Zustande der Welt zur Schau dienen soll, dann ist sie mir widerwärtig und ängstigt mich. Findet man mich aber freudig bei der Arbeit, unermüdet in meiner Pflicht, dann kann ich die Blicke eines Jeden aushalten, weil ich die göttlichen nicht zu scheuen brauche.
Ich müßte mich sehr irren, versetzte Charlotte, wenn deine Neigung dich nicht zur Pension ";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"
Du wirst nicht damit fertig, sagte Charlotte.
Freilich müßte ich es übermorgen früh haben und es ist viel, sagte Eduard. Es soll fertig sein, rief Ottilie, und hatte das Blatt schon in Händen.
Des anderen Morgens, als sie sich aus dem oberen Stock nach den Gästen umsahen,  
denen sie entgegen zu gehen nicht verfehlen wollten, sagte Eduard: wer reitet denn so langsam dort die Straße her? Der Hauptmann beschrieb die Figur des Reiters genauer. So ist er's do";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"
S";6;;;;;;;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
"
";9;;;;;;;;;;;;;;;;;;9;;;9;;;;;;;;;;;;;;;;;;;;;
"
[...]Die Familie hatte zusammen, wie gewöhnlich, das Frühstück eingenommen und die Baronesse saß wieder an [...]ihrem Stickrahmen.";3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
"
[...]Mit diesen Worten stand er auf und ging aus dem Zimmer; seine Gemahlin folgte ihm; die Gesellschaft [...]schwieg. Die Baronesse gab mit einigen, aber starken, Ausdrücken ihr Mißvergnügen zu erkennen; Karl ging [...]im Saale auf und ab. Die Geheimeräthin kam weinend zurück und erzählte, daß ihr Gemahl einpacken lasse [...]und schon Pferde bestellt habe. Die Baronesse ging zu ihm ihn zu bereden; [...]indessen weinten die Fräulein [...]und küßten sich und waren äußerst betrübt, daß sie sich so schnell und unerwartet von einander trennen [...]sollten.[...] [...]Die Baronesse kam zurück; sie hatte nichts ausgerichtet. Man fing an nach und nach alles [...]zusammen zu tragen was den Fremden gehörte. [...]Die traurigen Augenblicke des Loslösens und Scheidens wurden [...]sehr lebhaft empfunden. Mit den letzten Kästchen und Schachteln verschwand alle Hoffnung. Die Pferde [...]kamen, und die Thränen flossen reichlicher.
[...]
[...]Der Wagen fuhr fort und die Baronesse sah ihm nach; die Thränen standen ihr in den Augen. Sie trat vom [...]Fenster zurück und setzte sich an den Stickrahmen. Die ganze Gesellschaft war still, ja verlegen;[...] 
[...]
[...][Seite 110]
[...]
[...]besonders äußerte Karl seine Unruhe, indem er, in einer Ecke sitzend, ein Buch durchblätterte und [...]manchmal drüber weg nach seiner Tante sah.[...] Endlich stand er auf und nahm seinen Hut, als wenn er weggehen[...] wollte; allein in der Thüre kehrte er um, trat an den Rahmen und sagte mit edler Fassung: Ich habe Sie [...]beleidigt, liebe Tante, ich habe Ihnen Verdruß verursacht, verzeihen Sie meine Übereilung, ich erkenne [...]meinen Fehler und fühl' ihn tief.
[...]
[...]Ich kann verzeihen, antwortete die Baronesse: ich werde keinen Groll gegen dich hegen, weil du ein edler [...]guter Mensch bist;[...] aber du kannst nicht wieder gut machen, was du verdorben hast.[...] Ich entbehre durch [...]deine Schuld in diesen Augenblicken die Gesellschaft einer Freundin,[...] die ich seit langer Zeit zum [...]erstenmal wieder sah, die mir das Unglück selbst wieder zuführte, und in deren Umgang ich manche Stunde [...]das Unheil vergaß, das uns traf und das uns bedroht. Sie, die schon lange auf einer ängstlichen Flucht [...]herumgetrieben wird, und sich kaum wenige Tage in Gesellschaft von geliebten alten Freunden in einer [...]bequemen Wohnung, an einem angenehmen Orte erholt, muß schon wieder flüchtig werden, [...]und die Gesellschaft[...] verliert dabei die Unterhaltung ihres Gatten, der, so wunderlich er auch in manchen Stücken sein mag, [...]doch ein trefflicher rechtschaffener Mann ist und ein unerschöpfliches Archiv von Menschen- und [...]Welt-Kenntniß, von Begebenheiten und Verhältnissen 
[...]
[...][Seite 111]
[...]
[...]mit sich führt, die er auf eine leichte, glückliche und angenehme Weise mitzutheilen versteht.[...] Um diesen [...]vielfachen Genuß bringt uns deine Heftigkeit; wodurch kannst du ersetzen, was wir verlieren?
[...]
";3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
"
[...]Und so geht mit guten Kindern
[...]Sel'ger Engel gern zu Rath,
[...]Böses Wollen zu verhindern,
[...]Zu befördern schöne That.
[...]So beschwören, fest zu bannen,
[...]Liebem Sohn an's zarte Knie
[...]Ihn, des Waldes Hochtyrannen,
[...]Frommer Sinn und Melodie.
";3;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"
[...]nun schien der heitere morgendliche Gesichtskreis umnebelt, ihre Augen verdüstert, Wald und Wiese hatten [...]einen wunderbaren bänglichen Anschein.[...]
";3;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
